date,event,룬_콤보킬,몬스터파크,몬컬_세트,미라클_타임,샤이닝_스타포스,소울_확률,솔에르다_2배,솔에르다_타임,스타포스_1+1,스타포스_30%할인,스타포스_5_10_15,스타포스_파괴감소,어빌리티_반값,주문의_흔적_반값,트레져_헌터,헥사_스텟,현상금_사냥꾼
2019.06.23,<GLORY>,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019.06.30,<GLORY>,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019.07.07,<GLORY>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019.07.14,<GLORY>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019.07.21,<GLORY>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019.07.28,<GLORY>,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2019.08.04,<GLORY>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019.08.11,<GLORY>,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019.08.18,<GLORY>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019.09.01,<보름달 도깨비 야시장>,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2019.09.08,<보름달 도깨비 야시장>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019.09.15,<보름달 도깨비 야시장>,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
2019.09.22,<보름달 도깨비 야시장>,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019.09.29,(요정 웡키의 요술램프),0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2019.10.06,(요정 웡키의 요술램프),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019.10.13,(헤이스트 플러스),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019.10.20,(헤이스트 플러스),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019.10.27,(2019 돌아온 헌티드 맨션),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019.11.03,(2019 돌아온 헌티드 맨션),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019.11.10,(택티컬 릴레이 Ver.2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019.11.17,(택티컬 릴레이 Ver.2),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019.11.24,(돌아온 데굴데굴 하우스),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019.12.01,(돌아온 데굴데굴 하우스),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019.12.08,(돌아온 데굴데굴 하우스),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019.12.15,(도전! 메이플 레인보우!),0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
2019.12.22,<RISE>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019.12.29,<RISE>,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020.01.05,<RISE>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.01.12,<RISE>,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.01.19,<RISE>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020.01.26,<RISE>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.02.02,<RISE>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020.02.09,<RISE>,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2020.02.16,<RISE>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020.02.23,<RISE>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.03.01,(토벤머리 용사와 특별한 수업),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020.03.08,(토벤머리 용사와 특별한 수업),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.03.15,(메이플 해시태그),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020.03.22,(메이플 해시태그),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.03.29,(카밀라의 꽃 축제),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020.04.05,(카밀라의 꽃 축제),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2020.04.12,(헤이스트 플러스),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.04.19,(헤이스트 플러스),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020.04.26,<호텔 메이플>,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2020.05.03,<호텔 메이플>,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.05.10,<호텔 메이플>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020.05.17,<호텔 메이플>,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020.05.24,<호텔 메이플>,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020.05.31,<호텔 메이플>,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06.07,<호텔 메이플>,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020.06.14,(핫 썸머 워밍업),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020.06.21,(핫 썸머 워밍업),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
